en,jp,romaji-jp,fr
Jabow,ジャー坊,Jābō,
Shirokuma,しろく魔,Shirokuma,
Punkupine,ハリー,Harii,Harrisson
Pakkun,パックン,Pakkun,
Kyunshii,キュンシー,Kyunshī,
Hare-onna,ハレ女,Hare-onna,Hare-onna
Kakurenbou,かくれん坊,Kakurenbō,
Blizzaria,ふぶき姫,Fubuki-hime,Blizzaria
Damona,百鬼姫,Hyakki-hime,Damona
Daniel,ダニエル,Danieru,
Choky,チョッキー,Chokkī,
Merameraion,メラメライオン,Merameraion,
Itashikatanashi,いたしかたなし,Itashikatanashi,
Saya,紗夜,Saya,
Rai Oton,雷オトン,Rai Oton,
Orochi,オロチ,Orochi,Octorgone
Kage Orochi,影オロチ,,Kage Orochi
Shogunyan,ブシニャン,Bushinyan,Bushinyan
Shurakoma,しゅらコマ,Shurakoma,Komashura
Tsuchigumo,土蜘蛛,Tsuchigumo,Noko
Lil' Acala,不動明王ボーイ,Fudō Myōō Bōi,Fudou Myouou Boy
Honmaguro-taishou,ホンマグロ大将,Honmaguro-taishō,Honmaguro-taisho
Semicolon,セミコロン,Semikoron,
Komasan,コマさん,Komasan,
Komajiro,コマじろう,Komajirō,
Banchou,バンチョー,Banchō,
Tsuchinoko,ツチノコ,Tsuchinoko,
Seiryuu,青龍,Seiryū,
Fuu-kun,フウくん,Fū-kun,Fuu-kun
Rai-chan,ライちゃん,Rai-chan,
Jibanyan,ジバニャン,Jibanyan,Jibanyan
Uribou,瓜坊,Uribou,
Hamham,はむはむ,Hamuhamu,Hamham
Doyapon,ドヤぽん,Doyapon,
Kyubi,キュウビ,Kyūbi,
Inugami,犬神,,
Charlie,チャーリー,Chārī,
Kezurin,けずりん,Kezurin,
Hot Pot,寸胴丸,Zundōmaru,Marmitor
Ungaikyo,うんがい鏡,Ungaikyō,
Jinta,ジンタ,Jinta,
Kantaro,缶太郎,Kantaro,
Tidynator,ロボニャンOO,Robonyan Daburu Ō,
Kiborikkuma,きぼりっクマ,Kiborikkuma,Kiborikkuma
Junior,ジュニア,Junia,Junior
Whisper,ウィスパー,Wisupā,
Sly,ミッチー,Micchī,
Super Sly,ハイパーミッチー,Haipā Micchī,
Becchan,べっちゃん,Becchan,
Dameboy,ダメボーイ,Damebōi,
Fukurou,フクロウ,Fukurō,Fukurou
Hi no Shin,日ノ神,Hinoshin,Domniscian
"Ogu, Togu, and Mogu",オグ・トグ・モグ,Ogu Togu Mogu,"Ogu, Togu, et Mogu"
