Nom de l'auteur,hikari._moon
Nom des autres contributeurs,
Date de la dernière modification,2026-08-27
,
Nom,Fandolune
Tribue,Sinistre
Rang,B
PV (nombre),250
Force (nombre),100
Esprit (nombre),150
Défense (nombre),100
Vitesse (nombre),300
Description du yo-kai,"Cette ancienne lanterne s'est déchirée après avoir emprisonné un esprit farceur. Depuis, elle erre dans les rues sombres en crachant une brume violette. Quiconque respire cette fumée se met instantanément à broyer du noir et perd tout sens de l'orientation"
Pouvoir,
Nourriture préféré,Chinoise 
Nourriture détesté,
Élément,Guériseur
Rôle,Absortion
Étimologie,
Personnalité,
,
Déposer les image ici :,https://drive.google.com/drive/folders/1mOGT7rUKGqEo98vM1f4tcv5-uhkO2ruD?usp=sharing
Déposer les modèles 3D ici :,https://drive.google.com/drive/folders/1ASbwVzEJ3jglGG1ogq0FnEB-wVPsOKLR?usp=sharing
